Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify:track:Spotify - id
Uska Hi Banana,Arijit Singh,1920 Evil Returns,Favorite Songs,Favorite,INS181204311,5TJOAIWHRYW8pRBpnvLUo1,spotify:track:5TJOAIWHRYW8pRBpnvLUo1
Give Me Some Sunshine,Suraj Jagan,3 Idiots,Favorite Songs,Favorite,INS180907144,1Qt0OGUUPibpmk1FpFQ43m,spotify:track:1Qt0OGUUPibpmk1FpFQ43m
Aashiqui Mein Teri,Himesh Reshammiya,36 China Town (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INT100600031,1VGt7ZmY4iPfrabXjIMHo4,spotify:track:1VGt7ZmY4iPfrabXjIMHo4
"He's a Pirate (from ""Pirates of the Caribbean: Curse of the Black Pearl"") - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",Klaus Badelt,A Musical Tour: Treasures of the Walt Disney Archives at The Reagan Library,Favorite Songs,Favorite,USWD10321341,37g1RYWXZP7qPVWm62ffOz,spotify:track:37g1RYWXZP7qPVWm62ffOz
Wretches and Kings,Linkin Park,A Thousand Suns,Favorite Songs,Favorite,USWB11001853,1k02JjKowLil0ID9IYjwQd,spotify:track:1k02JjKowLil0ID9IYjwQd
Aaja We Mahiya,Imran Khan,Aaja We Mahiya,Favorite Songs,Favorite,GBRCG0900002,75Ak0cit8hV604Wjlq1gf2,spotify:track:75Ak0cit8hV604Wjlq1gf2
Aali Thumkat Naar,Adarsh Shinde,Aali Thumkat Naar - Mumbai Pune Mumbai 3,Favorite Songs,Favorite,INH101801702,1YzIGXwvbFWzoQ4DuXQfrP,spotify:track:1YzIGXwvbFWzoQ4DuXQfrP
Aankhon Mein,Jai Walia,Aankhon Mein Tera Hi Chehra,Favorite Songs,Favorite,INUM70502738,77y2yW2spk3HCkZXjlbhCD,spotify:track:77y2yW2spk3HCkZXjlbhCD
Tera Surroor,Himesh Reshammiya,Aap Kaa Surroor,Favorite Songs,Favorite,INS180500552,3WJQXRiZQNpasi3i4Tp8U1,spotify:track:3WJQXRiZQNpasi3i4Tp8U1
Naam Hai Tera,Himesh Reshammiya,Aap Kaa Surroor,Favorite Songs,Favorite,INS180500553,3IlXq2sHgAGvkBFyxcGiHQ,spotify:track:3IlXq2sHgAGvkBFyxcGiHQ
Lafzon Mein,Abhijeet Sawant,Aapka... Abhijeet Sawant,Favorite Songs,Favorite,INS170500015,7eyTUv9Y7VpAhZJYrDqGQy,spotify:track:7eyTUv9Y7VpAhZJYrDqGQy
Mohabbatein Lutaaunga,Prem & Hardeep,Aapka... Abhijeet Sawant,Favorite Songs,Favorite,INS170500014,0ScRAzkNibjRLPgPjsyMux,spotify:track:0ScRAzkNibjRLPgPjsyMux
Achha Lagta Hai,Shankar-Ehsaan-Loy,Aarakshan (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171100116,6VOKUdxhjSwbjinKbguOmy,spotify:track:6VOKUdxhjSwbjinKbguOmy
Aashiq Banaya Aapne,Himesh Reshammiya,Aashiq Banaya Aapne,Favorite Songs,Favorite,INS180500072,61mkuGe4SjLAZ5wg49NWQY,spotify:track:61mkuGe4SjLAZ5wg49NWQY
